	textid	text	pair	target
0	0	The president advised the doctor .	The doctor advised the president .	non-entailment
1	1	The student saw the managers .	The managers saw the student .	non-entailment
2	2	The presidents encouraged the banker .	The banker encouraged the presidents .	non-entailment
3	3	The senators supported the actor .	The actor supported the senators .	non-entailment
4	4	The actors avoided the bankers .	The bankers avoided the actors .	non-entailment
5	5	The senators mentioned the artist .	The artist mentioned the senators .	non-entailment
6	6	The managers saw the secretaries .	The secretaries saw the managers .	non-entailment
7	7	The professor recognized the secretaries .	The secretaries recognized the professor .	non-entailment
8	8	The author contacted the scientist .	The scientist contacted the author .	non-entailment
9	9	The athletes recommended the senator .	The senator recommended the athletes .	non-entailment
10	10	The president avoided the athlete .	The athlete avoided the president .	non-entailment
11	11	The judges supported the banker .	The banker supported the judges .	non-entailment
12	12	The senators contacted the scientists .	The scientists contacted the senators .	non-entailment
13	13	The banker thanked the tourist .	The tourist thanked the banker .	non-entailment
14	14	The tourists admired the secretary .	The secretary admired the tourists .	non-entailment
15	15	The lawyers helped the judge .	The judge helped the lawyers .	non-entailment
16	16	The actors introduced the lawyer .	The lawyer introduced the actors .	non-entailment
17	17	The professors advised the judge .	The judge advised the professors .	non-entailment
18	18	The artists contacted the professor .	The professor contacted the artists .	non-entailment
19	19	The student recognized the senator .	The senator recognized the student .	non-entailment
20	20	The secretary introduced the judge .	The judge introduced the secretary .	non-entailment
21	21	The senators introduced the president .	The president introduced the senators .	non-entailment
22	22	The lawyer introduced the professors .	The professors introduced the lawyer .	non-entailment
23	23	The tourist believed the students .	The students believed the tourist .	non-entailment
24	24	The athlete recommended the judge .	The judge recommended the athlete .	non-entailment
25	25	The secretary recommended the lawyer .	The lawyer recommended the secretary .	non-entailment
26	26	The authors recommended the professors .	The professors recommended the authors .	non-entailment
27	27	The students thanked the authors .	The authors thanked the students .	non-entailment
28	28	The tourist contacted the judges .	The judges contacted the tourist .	non-entailment
29	29	The authors introduced the students .	The students introduced the authors .	non-entailment
30	30	The author contacted the professors .	The professors contacted the author .	non-entailment
31	31	The judges recommended the president .	The president recommended the judges .	non-entailment
32	32	The students believed the judges .	The judges believed the students .	non-entailment
33	33	The athletes supported the president .	The president supported the athletes .	non-entailment
34	34	The managers introduced the bankers .	The bankers introduced the managers .	non-entailment
35	35	The authors encouraged the judges .	The judges encouraged the authors .	non-entailment
36	36	The actor stopped the senators .	The senators stopped the actor .	non-entailment
37	37	The artist avoided the senators .	The senators avoided the artist .	non-entailment
38	38	The actors recognized the student .	The student recognized the actors .	non-entailment
39	39	The senators stopped the presidents .	The presidents stopped the senators .	non-entailment
40	40	The scientists encouraged the lawyers .	The lawyers encouraged the scientists .	non-entailment
41	41	The professors helped the presidents .	The presidents helped the professors .	non-entailment
42	42	The authors stopped the senator .	The senator stopped the authors .	non-entailment
43	43	The professor advised the manager .	The manager advised the professor .	non-entailment
44	44	The manager introduced the judge .	The judge introduced the manager .	non-entailment
45	45	The presidents contacted the scientist .	The scientist contacted the presidents .	non-entailment
46	46	The artists encouraged the scientists .	The scientists encouraged the artists .	non-entailment
47	47	The lawyer advised the author .	The author advised the lawyer .	non-entailment
48	48	The student contacted the senator .	The senator contacted the student .	non-entailment
49	49	The students recognized the professor .	The professor recognized the students .	non-entailment
50	50	The actor believed the scientist .	The scientist believed the actor .	non-entailment
51	51	The artist contacted the tourist .	The tourist contacted the artist .	non-entailment
52	52	The president helped the actors .	The actors helped the president .	non-entailment
53	53	The professors introduced the secretary .	The secretary introduced the professors .	non-entailment
54	54	The doctors advised the senator .	The senator advised the doctors .	non-entailment
55	55	The doctors believed the student .	The student believed the doctors .	non-entailment
56	56	The judges mentioned the student .	The student mentioned the judges .	non-entailment
57	57	The judge called the doctors .	The doctors called the judge .	non-entailment
58	58	The managers stopped the president .	The president stopped the managers .	non-entailment
59	59	The artist introduced the tourists .	The tourists introduced the artist .	non-entailment
60	60	The manager contacted the secretaries .	The secretaries contacted the manager .	non-entailment
61	61	The judges recommended the secretary .	The secretary recommended the judges .	non-entailment
62	62	The actors called the professor .	The professor called the actors .	non-entailment
63	63	The scientists avoided the actors .	The actors avoided the scientists .	non-entailment
64	64	The banker encouraged the artists .	The artists encouraged the banker .	non-entailment
65	65	The artists believed the bankers .	The bankers believed the artists .	non-entailment
66	66	The professor recommended the manager .	The manager recommended the professor .	non-entailment
67	67	The doctor thanked the secretary .	The secretary thanked the doctor .	non-entailment
68	68	The banker admired the actors .	The actors admired the banker .	non-entailment
69	69	The banker thanked the lawyer .	The lawyer thanked the banker .	non-entailment
70	70	The managers called the athletes .	The athletes called the managers .	non-entailment
71	71	The tourists introduced the authors .	The authors introduced the tourists .	non-entailment
72	72	The secretary mentioned the authors .	The authors mentioned the secretary .	non-entailment
73	73	The banker admired the tourist .	The tourist admired the banker .	non-entailment
74	74	The lawyers thanked the managers .	The managers thanked the lawyers .	non-entailment
75	75	The authors recognized the judges .	The judges recognized the authors .	non-entailment
76	76	The senators saw the author .	The author saw the senators .	non-entailment
77	77	The students stopped the professors .	The professors stopped the students .	non-entailment
78	78	The athletes thanked the student .	The student thanked the athletes .	non-entailment
79	79	The lawyers recommended the professor .	The professor recommended the lawyers .	non-entailment
80	80	The student believed the presidents .	The presidents believed the student .	non-entailment
81	81	The tourist believed the scientists .	The scientists believed the tourist .	non-entailment
82	82	The doctors supported the author .	The author supported the doctors .	non-entailment
83	83	The doctor encouraged the author .	The author encouraged the doctor .	non-entailment
